2018-Apr-28 16:10:57.456 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@358c99f5: startup date [Sat Apr 28 16:10:55 GST 2018]; root of context hierarchy
2018-Apr-28 16:10:57.537 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/media],methods=[GET]}" onto public org.springframework.http.ResponseEntity<?> org.starzplay.media.controller.MediaController.getMedia(java.lang.String,java.lang.String)
2018-Apr-28 16:10:57.551 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-Apr-28 16:10:57.552 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-Apr-28 16:10:57.593 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-Apr-28 16:10:57.594 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-Apr-28 16:10:57.638 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-Apr-28 16:10:57.803 INFO  [main] o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-Apr-28 16:10:57.848 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2018-Apr-28 16:10:57.850 INFO  [main] o.s.m.MediaApplication - Started MediaApplication in 3.328 seconds (JVM running for 3.749)
2018-Apr-28 16:11:10.803 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[.[.[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-Apr-28 16:11:10.805 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-Apr-28 16:11:10.826 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 21 ms
2018-Apr-28 16:11:10.889 INFO  [http-nio-8080-exec-1] o.s.m.c.MediaController - filter=censoring,level=uncensored
2018-Apr-28 16:11:10.889 INFO  [http-nio-8080-exec-1] o.s.m.c.MediaController - filter=censoring,level=uncensored
2018-Apr-28 16:13:18.985 INFO  [http-nio-8080-exec-3] o.s.m.c.MediaController - filter=censoring,level=Censored
2018-Apr-28 16:13:18.987 INFO  [http-nio-8080-exec-3] o.s.m.c.MediaController - filter=censoring,level=Censored
2018-Apr-28 16:14:21.035 INFO  [main] o.s.m.MediaApplication - Starting MediaApplication on ESS17001DXB0342 with PID 11688 (C:\Users\Etisalat\Desktop\java-assignment\target\classes started by Etisalat in C:\Users\Etisalat\Desktop\java-assignment)
2018-Apr-28 16:14:21.039 INFO  [main] o.s.m.MediaApplication - No active profile set, falling back to default profiles: default
2018-Apr-28 16:14:21.114 INFO  [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6295d394: startup date [Sat Apr 28 16:14:21 GST 2018]; root of context hierarchy
2018-Apr-28 16:14:22.606 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2018-Apr-28 16:14:22.646 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2018-Apr-28 16:14:22.647 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.28
2018-Apr-28 16:14:22.659 INFO  [localhost-startStop-1] o.a.c.c.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_151\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:/Program Files/Java/jre1.8.0_151/bin/server;C:/Program Files/Java/jre1.8.0_151/bin;C:/Program Files/Java/jre1.8.0_151/lib/amd64;C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\Program Files\nodejs\;C:\Users\Etisalat\AppData\Local\Microsoft\WindowsApps;C:\java practice\apache-maven-3.5.2\bin;C:\Users\Etisalat\AppData\Roaming\npm;C:\java practice\eclipse;;.]
2018-Apr-28 16:14:22.826 INFO  [localhost-startStop-1] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2018-Apr-28 16:14:22.833 INFO  [localhost-startStop-1] o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 1719 ms
2018-Apr-28 16:14:22.980 INFO  [localhost-startStop-1] o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2018-Apr-28 16:14:22.983 INFO  [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-Apr-28 16:14:22.984 INFO  [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-Apr-28 16:14:22.984 INFO  [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-Apr-28 16:14:22.985 INFO  [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2018-Apr-28 16:14:23.334 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6295d394: startup date [Sat Apr 28 16:14:21 GST 2018]; root of context hierarchy
2018-Apr-28 16:14:23.420 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/media],methods=[GET]}" onto public org.springframework.http.ResponseEntity<?> org.starzplay.media.controller.MediaController.getMedia(java.lang.String,java.lang.String)
2018-Apr-28 16:14:23.424 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-Apr-28 16:14:23.424 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-Apr-28 16:14:23.463 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-Apr-28 16:14:23.463 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-Apr-28 16:14:23.515 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-Apr-28 16:14:23.657 INFO  [main] o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-Apr-28 16:14:23.709 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2018-Apr-28 16:14:23.713 INFO  [main] o.s.m.MediaApplication - Started MediaApplication in 3.122 seconds (JVM running for 3.608)
2018-Apr-28 16:14:28.274 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[.[.[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-Apr-28 16:14:28.276 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-Apr-28 16:14:28.293 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 17 ms
